ts	phase	decision	why	evidence	result
2026-09-16T00:00:00Z	frame	Treat issue #3388 as a staged implementation and make the Rust API path work before expanding every SDK YAML helper	The issue spans several SDKs and many public messages; a compiling vertical slice exposes the schema and ownership decisions for review	GitHub issue #3388	open
2026-09-16T23:12:10Z	audit	Supersede the placeholder timestamp in the first row with this actual start time	The log is append-only, so the incorrect placeholder remains visible and this row corrects it	.audit/3388-public-policy-proto.tsv	corrected
2026-09-16T23:12:59Z	baseline	Base the implementation branch on current origin/main after PR #3334 merged	The public proto work should extend the canonical authored schema crate instead of recreating its parser	origin/main at c502be9fd, merge commit 2ccef9776	branch feat/3388-public-policy-proto/pimlock created
2026-09-16T23:24:18Z	contract	Keep documented policy choices as validated strings and use message presence for MCP versions	This preserves current YAML vocabulary and SDK forward compatibility while fixing the repeated-field presence gap	proto/policy.proto	public package compiles; schema tests pass
2026-09-16T23:24:18Z	migration	Retain the #3334 Serde DTO as a temporary compatibility codec around the generated message	A working public API boundary can land before the generic-tree-only codec rewrite without changing the wire contract	crates/openshell-policy-schema/src/generated.rs	generated-to-YAML round trip works
2026-09-17T00:08:00Z	boundary	Persist public policy in SandboxSpec but keep revision rows, compute-driver messages, and supervisor configuration internal	The public contract must exclude derived authority while enforcement still needs normalized provenance-bearing state	cargo check --workspace	production Rust workspace compiles across the public/internal boundary
2026-09-17T00:11:00Z	providers	Reuse the public endpoint and binary messages in ProviderProfile and lower them through openshell-policy at the gateway boundary	Provider profiles author the same policy language and should not maintain a second generated schema	crates/openshell-providers/src/profiles.rs	provider profile API uses openshell.policy.v1 while its YAML DTO remains provider-owned
2026-09-17T00:15:00Z	validation	Do not add generated proto validation annotations in this slice	Most security invariants are contextual across protocol, endpoint, provider attachment, and effective-policy composition; generated field checks would supplement but cannot replace the existing validators	architecture/security-policy.md	intrinsic schema validation remains in openshell-policy-schema and contextual validation remains in openshell-policy/gateway
2026-09-17T00:18:00Z	compatibility	Align public field numbers with the existing runtime messages wherever semantics and wire types match	Although the new major version permits source breaks, retaining compatible tags reduces persisted-record and mixed-client migration risk; intentionally reshaped JSON-RPC and MCP submessages remain explicit conversion boundaries	proto/policy.proto	common endpoint and middleware fields retain their historical wire numbers; internal authority tags are reserved
2026-09-17T00:20:00Z	verification	Treat raw generated SDK availability as complete for the vertical slice and record curated/test-fixture migration as follow-up	Rust production crates compile and Go/TypeScript generate the public package, but legacy Rust test fixtures and Go curated converters still assume runtime messages	cargo test --workspace --no-run; mise run go:ci	known incomplete migration remains visible and blocks declaring the whole issue complete
2026-09-17T00:27:00Z	api-review	Preserve historical endpoint and middleware tag numbers for semantically identical public fields	The API review found that aesthetic renumbering would turn an avoidable source break into a wire and persistence break; MCP and JSON-RPC remain intentionally reshaped where authored presence cannot use the runtime representation	proto/sandbox.proto compared with proto/policy.proto	matching fields now retain tags and runtime-only authority tags 18 and 26 are reserved
2026-09-17T00:46:00Z	audit-fix	Lower edited public draft rules before encoding the internal DraftChunkRecord	The independent audit found EditDraftChunk persisted openshell.policy.v1 bytes that later code decodes as openshell.sandbox.v1; MCP and recursive matcher layouts are not wire-compatible	crates/openshell-server/src/grpc/policy.rs handle_edit_draft_chunk	public edit input now crosses the same checked lowering boundary before internal persistence
2026-09-17T01:02:00Z	audit-fix	Make provider-profile protobuf conversion fallible at untrusted ingress	A malformed public endpoint must produce an import diagnostic instead of panicking inside the gateway	crates/openshell-providers/src/profiles.rs; crates/openshell-server/src/grpc/provider.rs	server import uses try_from_proto; the infallible wrapper is restricted to trusted validated values
2026-09-17T01:03:00Z	audit-fix	Generate the public policy package for Python and rewrite its relative import	The API binding imports policy_pb2 after openshell.proto begins referencing the public package	tasks/scripts/generate_python_proto.py	manual Python generation completes with package-local imports
2026-09-17T01:04:00Z	audit-fix	Reject middleware integers that cannot round-trip exactly through google.protobuf.Value	Struct stores numbers as f64, so accepting a larger YAML integer would silently change policy semantics	crates/openshell-policy-schema/src/generated.rs	9007199254740993 is rejected by a regression test
2026-09-17T01:05:00Z	audit-fix	Preserve present-empty MCP versions so validation can reject them	Only omission selects the pinned default; an explicitly empty authored list is invalid and must not normalize to a default	crates/openshell-core/src/mcp.rs; crates/openshell-providers/src/profiles.rs	omitted versions materialize the default while present-empty public versions fail conversion
2026-09-17T01:06:00Z	persistence	Require a clean gateway database for this new-major prototype unless a one-time migration is added	Persisted SandboxSpec and StoredProviderProfile now embed public messages whose MCP, matcher, and JSON-RPC layouts are not wire-compatible with old records	architecture/security-policy.md	policy revision rows remain compatible; mixed-version rollout and old embedded records are explicitly unsupported
