ts	phase	decision	why	evidence	result
2026-09-11T04:06:40Z	framing	based the implementation branch on the exact Stage 2 PR head	the stack must contain only Stage 3 changes	PR #3265 head 797c36ebafad2e8b7a4eb59b971e4d27aff6745f	branch 1731-durable-config-operations/pimlock created
2026-09-11T04:43:47Z	design	used an exact policy-version and settings-revision tuple for each operation	a result must not complete a different desired state after concurrent mutations	crates/openshell-server/src/config_update_operation.rs	exact tuple comparison implemented
2026-09-11T04:43:47Z	durability	stored desired state and its operation in one database transaction	a crash after commit must leave enough durable state to redispatch	crates/openshell-server/src/persistence/postgres.rs, crates/openshell-server/src/persistence/sqlite.rs	atomic policy and settings paths implemented
2026-09-11T04:43:47Z	migration	removed runtime polling and required supervisor protocol revision 3	all supported peers now consume complete stream bootstrap and updates	crates/openshell-sandbox/src/lib.rs, crates/openshell-core/src/proto/mod.rs	polling fallback removed and old revisions rejected
2026-09-11T04:43:47Z	api	made wait consistency server-owned and queryable by operation ID	client deadlines must not determine or erase the durable business outcome	proto/openshell.proto, crates/openshell-cli/src/run.rs	CLI and SDK requests use WAIT_FOR_APPLY
2026-09-11T22:01:00Z	atomicity	included setting annotations and expected sandbox resource-version CAS in the settings transaction	a post-commit annotation failure could otherwise report failure after desired state and its operation committed	crates/openshell-server/src/persistence/postgres.rs, crates/openshell-server/src/persistence/sqlite.rs	settings, sandbox projection, and operation now commit or roll back together
2026-09-11T22:04:00Z	verification	validated curated TypeScript and Go SDK contracts	public clients must compile and exercise the new consistency and operation fields	mise run sdk:ts:ci; mise run go:ci	both SDK CI suites passed
2026-09-11T22:05:00Z	design-artifact	published the state and flow design as a secret gist	the implementation and operational contract need a durable reviewable reference	https://gist.github.com/pimlock/73aa746b48d82d84001cf8e0afa56bf6	gist published
2026-09-11T22:24:00Z	migration	removed the remaining Stage 2 compatibility branches and stale polling language	protocol revision 3 requires bootstrap and must expose one stream-only configuration path	crates/openshell-server/src/supervisor_session.rs, crates/openshell-sandbox/src/lib.rs, docs/	dead optional-bootstrap and fetch-fallback paths removed
2026-09-11T22:25:00Z	verification	reran the focused custom-image end-to-end suite after one transient assertion failure	the first run logged the correct runtime rejection but the client observed terminal state before the detailed condition	OPENSHELL_E2E_DOCKER_TEST=custom_image mise run e2e:rust	all 3 focused tests passed without changing the assertion
2026-09-11T22:26:00Z	self-audit	checked for an available session transcript before final review	the decision-trail protocol calls for comparison when a transcript artifact exists	find /home/pmlocek/.codex -type f -path '*/agent-transcripts/*'	no transcript artifact was available; reviewed the trail against the active request and implementation diff
2026-09-11T22:32:00Z	verification	isolated a full-CI timeout in an unrelated WebSocket compression test	the test exercises supervisor-network frame handling and has no configuration-operation dependency	mise run ci; cargo test -p openshell-supervisor-network --lib proxy::tests::plaintext_websocket_middleware_inspects_compressed_ws_messages -- --exact --nocapture	full run timed out once; isolated rerun passed 1/1 in 8.44 seconds
2026-09-11T22:34:00Z	compatibility	made protocol revision 3 an exact-match release boundary before removing polling	Stage 2 already supplies complete bootstrap, live stream payloads, acknowledgements, and owner reconciliation; exact matching excludes old peers instead of silently degrading	PR #3265; proto/sandbox.proto; crates/openshell-server/src/supervisor_session.rs; focused Docker E2E with stream-only runtime	current gateway and supervisor interoperate; older revisions are rejected and require coordinated upgrade
2026-09-11T22:34:00Z	lifecycle	classified phases from authoritative persisted state rather than session presence	Ready and transitional phases may have or regain a live runtime, while Stopped and Completed do not; Deleting invalidates further application	crates/openshell-server/src/config_update_operation.rs authoritative_phase_classification_is_explicit	Stopped and Completed become inactive; Deleting becomes cancelled; Ready, Provisioning, Starting, Stopping, Error, Unknown, and Unspecified stay pending; the current SandboxPhase enum has no Suspended variant
2026-09-11T22:34:00Z	completion	mapped exact correlated results without treating newer application as proof of older application	a degraded result means the requested snapshot was installed with declared degraded middleware behavior, while a retained local override means the requested gateway policy did not become effective	crates/openshell-server/src/config_update_operation.rs complete_from_apply_result and target_relation	Applied, duplicate, and degraded complete applied; stale completes superseded; retained override and apply failures complete failed; later desired tuples supersede pending older tuples
2026-09-11T22:34:00Z	recovery	used durable scans, CAS transition claims, and bounded exponential redispatch backoff	request memory and request-gateway ownership cannot be correctness dependencies, and concurrent reconcilers must not create unbounded duplicate work	crates/openshell-server/src/config_update_operation.rs spawn_reconciler, mutate_record, reconcile_one	pending records survive restart, any gateway sharing the store may claim them, and retries rebuild the current complete snapshot
2026-09-11T22:34:00Z	api-scope	scoped idempotency to sandbox and key, omitted operations for semantic no-ops, bounded server waits, and kept global mutations commit-only	retries need stable identity without creating artificial revisions; unbounded fleet fan-out needs a separate operation model	proto/openshell.proto; crates/openshell-server/src/grpc/policy.rs; crates/openshell-server/src/config_update_operation.rs	retries resolve the stored operation, no-op calls return without an operation, WAIT_FOR_APPLY is rejected globally, and waits default to 60 seconds with a one-hour cap
2026-09-11T22:34:00Z	verification-scope	mapped Stage 3 recovery requirements to implemented tests and durable invariants	the review trail must distinguish executable coverage from properties established by shared persistence and CAS	server operation tests, stopped_sandbox_setting_update_commits_with_inactive_operation, supervisor stream tests, SDK CI, Docker E2E	inactive, exact tuple ordering, idempotent retry, atomic persistence, stream bootstrap/apply, and polling removal are directly tested; process-kill crash injection and multi-process cross-gateway completion are not dedicated scenarios and remain coverage follow-ups
2026-09-11T22:34:00Z	independent-review	addressed the cross-model decision-trail audit	the reviewer identified omitted lifecycle, compatibility, recovery, API-scope, completion, and verification rationale	gpt-6-astra review of .audit/stage-3-logical-transaction.tsv	six missing rationale areas added; no code defect was reported by this trail-only audit
2026-09-11T22:37:00Z	verification	reran the repository full CI gate after isolating the timing failure	a green complete rerun removes ambiguity about the final tree	mise run ci	full CI passed, including 1492 server tests and all configured SDK, lint, policy, packaging, and documentation checks
